Entry,Reviewed,Entry Name,Protein names,Gene Names,Organism,Length,Transmembrane
Q8N0V5,reviewed,GNT2A_HUMAN,"N-acetyllactosaminide beta-1,6-N-acetylglucosaminyl-transferase (N-acetylglucosaminyltransferase) (EC 2.4.1.150) (I-branching enzyme) (IGNT)",GCNT2 GCNT5 II NACGT1,Homo sapiens (Human),402,"TRANSMEM 8..23; /note=""Helical; Signal-anchor for type II membrane protein""; /evidence=""ECO:0000255"""
Q8N0W4,reviewed,NLGNX_HUMAN,"Neuroligin-4, X-linked (Neuroligin X) (HNLX)",NLGN4X KIAA1260 NLGN4 UNQ365/PRO701,Homo sapiens (Human),816,"TRANSMEM 677..697; /note=""Helical""; /evidence=""ECO:0000255"""
Q8N114,reviewed,SHSA5_HUMAN,Protein shisa-5 (Putative NF-kappa-B-activating protein 120) (Scotin),SHISA5 SCOTIN PSEC0133,Homo sapiens (Human),240,"TRANSMEM 106..126; /note=""Helical""; /evidence=""ECO:0000255"""
Q8N126,reviewed,CADM3_HUMAN,Cell adhesion molecule 3 (Brain immunoglobulin receptor) (Immunoglobulin superfamily member 4B) (IgSF4B) (Nectin-like protein 1) (NECL-1) (Synaptic cell adhesion molecule 3) (SynCAM3) (TSLC1-like protein 1) (TSLL1),CADM3 IGSF4B NECL1 SYNCAM3 TSLL1 UNQ225/PRO258,Homo sapiens (Human),398,"TRANSMEM 331..351; /note=""Helical""; /evidence=""ECO:0000255"""
Q8N130,reviewed,NPT2C_HUMAN,Sodium-dependent phosphate transport protein 2C (Sodium-phosphate transport protein 2C) (Na(+)-dependent phosphate cotransporter 2C) (Sodium/inorganic phosphate cotransporter IIC) (Sodium/phosphate cotransporter 2C) (Na(+)/Pi cotransporter 2C) (NaPi-2c) (Solute carrier family 34 member 3),SLC34A3 NPT2C NPTIIC,Homo sapiens (Human),599,"TRANSMEM 77..97; /note=""Helical; Name=M1""; /evidence=""ECO:0000255""; TRANSMEM 112..132; /note=""Helical; Name=M2""; /evidence=""ECO:0000255""; TRANSMEM 189..209; /note=""Helical; Name=M3""; /evidence=""ECO:0000255""; TRANSMEM 323..343; /note=""Helical; Name=M4""; /evidence=""ECO:0000255""; TRANSMEM 368..388; /note=""Helical; Name=M5""; /evidence=""ECO:0000255""; TRANSMEM 446..466; /note=""Helical; Name=M6""; /evidence=""ECO:0000255""; TRANSMEM 486..506; /note=""Helical; Name=M7""; /evidence=""ECO:0000255""; TRANSMEM 511..531; /note=""Helical; Name=M8""; /evidence=""ECO:0000255"""
Q8N131,reviewed,PORIM_HUMAN,Porimin (Keratinocytes-associated transmembrane protein 3) (KCT-3) (Pro-oncosis receptor inducing membrane injury) (Transmembrane protein 123),TMEM123 KCT3 PSEC0111 UNQ641/PRO1271,Homo sapiens (Human),208,"TRANSMEM 167..187; /note=""Helical""; /evidence=""ECO:0000255"""
Q8N138,reviewed,ORML3_HUMAN,ORM1-like protein 3,ORMDL3,Homo sapiens (Human),153,"TRANSMEM 22..44; /note=""Helical""; /evidence=""ECO:0000269|PubMed:33558762, ECO:0007744|PDB:6M4N, ECO:0007744|PDB:6M4O, ECO:0007744|PDB:7CQI, ECO:0007744|PDB:7CQK""; TRANSMEM 45..63; /note=""Helical""; /evidence=""ECO:0000269|PubMed:33558762, ECO:0007744|PDB:6M4N, ECO:0007744|PDB:6M4O, ECO:0007744|PDB:7CQI, ECO:0007744|PDB:7CQK""; TRANSMEM 101..117; /note=""Helical""; /evidence=""ECO:0000269|PubMed:33558762, ECO:0007744|PDB:6M4N, ECO:0007744|PDB:6M4O, ECO:0007744|PDB:7CQI, ECO:0007744|PDB:7CQK""; TRANSMEM 122..139; /note=""Helical""; /evidence=""ECO:0000269|PubMed:33558762, ECO:0007744|PDB:6M4N, ECO:0007744|PDB:6M4O, ECO:0007744|PDB:7CQI, ECO:0007744|PDB:7CQK"""
Q8N139,reviewed,ABCA6_HUMAN,ATP-binding cassette sub-family A member 6 (EC 7.6.2.-),ABCA6,Homo sapiens (Human),1617,"TRANSMEM 31..51; /note=""Helical""; /evidence=""ECO:0000255""; TRANSMEM 222..242; /note=""Helical""; /evidence=""ECO:0000255""; TRANSMEM 268..288; /note=""Helical""; /evidence=""ECO:0000255""; TRANSMEM 297..317; /note=""Helical""; /evidence=""ECO:0000255""; TRANSMEM 327..347; /note=""Helical""; /evidence=""ECO:0000255""; TRANSMEM 355..375; /note=""Helical""; /evidence=""ECO:0000255""; TRANSMEM 397..417; /note=""Helical""; /evidence=""ECO:0000255""; TRANSMEM 854..874; /note=""Helical""; /evidence=""ECO:0000255""; TRANSMEM 1007..1027; /note=""Helical""; /evidence=""ECO:0000255""; TRANSMEM 1062..1082; /note=""Helical""; /evidence=""ECO:0000255""; TRANSMEM 1094..1114; /note=""Helical""; /evidence=""ECO:0000255""; TRANSMEM 1127..1147; /note=""Helical""; /evidence=""ECO:0000255""; TRANSMEM 1150..1170; /note=""Helical""; /evidence=""ECO:0000255""; TRANSMEM 1194..1214; /note=""Helical""; /evidence=""ECO:0000255"""
Q8N144,reviewed,CXD3_HUMAN,Gap junction delta-3 protein (Connexin-31.9) (Cx31.9) (Gap junction alpha-11 protein) (Gap junction chi-1 protein),GJD3 GJA11 GJC1,Homo sapiens (Human),294,"TRANSMEM 25..45; /note=""Helical""; /evidence=""ECO:0000255""; TRANSMEM 77..97; /note=""Helical""; /evidence=""ECO:0000255""; TRANSMEM 137..157; /note=""Helical""; /evidence=""ECO:0000255""; TRANSMEM 189..209; /note=""Helical""; /evidence=""ECO:0000255"""
Q8N149,reviewed,LIRA2_HUMAN,Leukocyte immunoglobulin-like receptor subfamily A member 2 (CD85 antigen-like family member H) (Immunoglobulin-like transcript 1) (ILT-1) (Leukocyte immunoglobulin-like receptor 7) (LIR-7) (CD antigen CD85h),LILRA2 ILT1 LIR7,Homo sapiens (Human),483,"TRANSMEM 450..470; /note=""Helical""; /evidence=""ECO:0000255"""
Q8N1C3,reviewed,GBRG1_HUMAN,Gamma-aminobutyric acid receptor subunit gamma-1 (GABA(A) receptor subunit gamma-1) (GABAAR subunit gamma-1),GABRG1,Homo sapiens (Human),465,"TRANSMEM 274..294; /note=""Helical""; /evidence=""ECO:0000255""; TRANSMEM 301..320; /note=""Helical""; /evidence=""ECO:0000255""; TRANSMEM 329..349; /note=""Helical""; /evidence=""ECO:0000255""; TRANSMEM 445..465; /note=""Helical""; /evidence=""ECO:0000255"""
Q8N1M1,reviewed,BEST3_HUMAN,Bestrophin-3 (Vitelliform macular dystrophy 2-like protein 3),BEST3 VMD2L3,Homo sapiens (Human),668,"TRANSMEM 32..51; /note=""Helical""; /evidence=""ECO:0000250|UniProtKB:O76090""; TRANSMEM 61..82; /note=""Helical""; /evidence=""ECO:0000250|UniProtKB:O76090""; TRANSMEM 238..255; /note=""Helical""; /evidence=""ECO:0000250|UniProtKB:O76090""; TRANSMEM 275..288; /note=""Helical""; /evidence=""ECO:0000250|UniProtKB:O76090"""
Q8N1N2,reviewed,DYNAP_HUMAN,Dynactin-associated protein (Full),DYNAP C18orf26,Homo sapiens (Human),210,"TRANSMEM 114..134; /note=""Helical; Signal-anchor for type II membrane protein""; /evidence=""ECO:0000255"""
Q8N201,reviewed,INT1_HUMAN,Integrator complex subunit 1 (Int1),INTS1 KIAA1440 UNQ1821/PRO3434,Homo sapiens (Human),2190,"TRANSMEM 1159..1179; /note=""Helical""; /evidence=""ECO:0000255"""
Q8N205,reviewed,SYNE4_HUMAN,Nesprin-4 (KASH domain-containing protein 4) (KASH4) (Nuclear envelope spectrin repeat protein 4),SYNE4 C19orf46,Homo sapiens (Human),404,"TRANSMEM 356..376; /note=""Helical; Anchor for type IV membrane protein""; /evidence=""ECO:0000255|PROSITE-ProRule:PRU00385"""
Q8N271,reviewed,PROM2_HUMAN,Prominin-2 (PROM-2) (Prominin-like protein 2) (hPROML2),PROM2 PROML2 UNQ2521/PRO6014,Homo sapiens (Human),834,"TRANSMEM 107..127; /note=""Helical""; /evidence=""ECO:0000255""; TRANSMEM 154..174; /note=""Helical""; /evidence=""ECO:0000255""; TRANSMEM 427..447; /note=""Helical""; /evidence=""ECO:0000255""; TRANSMEM 473..493; /note=""Helical""; /evidence=""ECO:0000255""; TRANSMEM 780..800; /note=""Helical""; /evidence=""ECO:0000255"""
Q8N2A8,reviewed,PLD6_HUMAN,Mitochondrial cardiolipin hydrolase (EC 3.1.4.-) (Choline phosphatase 6) (Mitochondrial phospholipase) (MitoPLD) (Phosphatidylcholine-hydrolyzing phospholipase D6) (Phospholipase D6) (PLD6) (Protein zucchini homolog),PLD6,Homo sapiens (Human),252,"TRANSMEM 5..27; /note=""Helical""; /evidence=""ECO:0000255"""
Q8N2C7,reviewed,UNC80_HUMAN,Protein unc-80 homolog,UNC80 C2orf21 KIAA1843,Homo sapiens (Human),3258,"TRANSMEM 2268..2288; /note=""Helical""; /evidence=""ECO:0000255""; TRANSMEM 2398..2418; /note=""Helical""; /evidence=""ECO:0000255""; TRANSMEM 2785..2805; /note=""Helical""; /evidence=""ECO:0000255""; TRANSMEM 2831..2851; /note=""Helical""; /evidence=""ECO:0000255"""
Q8N2F6,reviewed,ARM10_HUMAN,Armadillo repeat-containing protein 10 (Splicing variant involved in hepatocarcinogenesis protein),ARMC10 SVH PSEC0198,Homo sapiens (Human),343,"TRANSMEM 5..27; /note=""Helical""; /evidence=""ECO:0000255"""
Q8N2H4,reviewed,SYS1_HUMAN,Protein SYS1 homolog,SYS1 C20orf169,Homo sapiens (Human),156,"TRANSMEM 13..33; /note=""Helical""; /evidence=""ECO:0000255""; TRANSMEM 65..85; /note=""Helical""; /evidence=""ECO:0000255""; TRANSMEM 91..111; /note=""Helical""; /evidence=""ECO:0000255""; TRANSMEM 113..133; /note=""Helical""; /evidence=""ECO:0000255"""
Q8N2K0,reviewed,ABD12_HUMAN,Lysophosphatidylserine lipase ABHD12 (EC 3.1.-.-) (2-arachidonoylglycerol hydrolase ABHD12) (Abhydrolase domain-containing protein 12) (hABHD12) (Monoacylglycerol lipase ABHD12) (EC 3.1.1.23) (Oxidized phosphatidylserine lipase ABHD12) (EC 3.1.-.-),ABHD12 C20orf22,Homo sapiens (Human),398,"TRANSMEM 75..95; /note=""Helical""; /evidence=""ECO:0000250|UniProtKB:Q99LR1"""
Q8N2K1,reviewed,UB2J2_HUMAN,Ubiquitin-conjugating enzyme E2 J2 (EC 2.3.2.23) (E2 ubiquitin-conjugating enzyme J2) (Non-canonical ubiquitin-conjugating enzyme 2) (NCUBE-2),UBE2J2 NCUBE2,Homo sapiens (Human),259,"TRANSMEM 227..247; /note=""Helical; Anchor for type IV membrane protein""; /evidence=""ECO:0000255"""
Q8N2M4,reviewed,TM86A_HUMAN,Lysoplasmalogenase TMEM86A (EC 3.3.2.2) (Transmembrane protein 86A),TMEM86A,Homo sapiens (Human),240,"TRANSMEM 22..42; /note=""Helical""; /evidence=""ECO:0000255""; TRANSMEM 44..64; /note=""Helical""; /evidence=""ECO:0000255""; TRANSMEM 71..91; /note=""Helical""; /evidence=""ECO:0000255""; TRANSMEM 93..113; /note=""Helical""; /evidence=""ECO:0000255""; TRANSMEM 116..136; /note=""Helical""; /evidence=""ECO:0000255""; TRANSMEM 139..159; /note=""Helical""; /evidence=""ECO:0000255""; TRANSMEM 175..195; /note=""Helical""; /evidence=""ECO:0000255""; TRANSMEM 207..227; /note=""Helical""; /evidence=""ECO:0000255"""
Q8N2Q7,reviewed,NLGN1_HUMAN,Neuroligin-1,NLGN1 KIAA1070,Homo sapiens (Human),863,"TRANSMEM 718..738; /note=""Helical""; /evidence=""ECO:0000255"""
Q8N2U9,reviewed,S66A2_HUMAN,Solute carrier family 66 member 2 (PQ-loop repeat-containing protein 1),SLC66A2 PQLC1,Homo sapiens (Human),271,"TRANSMEM 8..28; /note=""Helical""; /evidence=""ECO:0000255""; TRANSMEM 49..69; /note=""Helical""; /evidence=""ECO:0000255""; TRANSMEM 76..96; /note=""Helical""; /evidence=""ECO:0000255""; TRANSMEM 145..165; /note=""Helical""; /evidence=""ECO:0000255""; TRANSMEM 168..188; /note=""Helical""; /evidence=""ECO:0000255""; TRANSMEM 232..252; /note=""Helical""; /evidence=""ECO:0000255"""
Q8N350,reviewed,CBARP_HUMAN,Voltage-dependent calcium channel beta subunit-associated regulatory protein,CBARP C19orf26,Homo sapiens (Human),705,"TRANSMEM 46..66; /note=""Helical; Signal-anchor for type III membrane protein""; /evidence=""ECO:0000255"""
Q8N357,reviewed,S35F6_HUMAN,Solute carrier family 35 member F6 (ANT2-binding protein) (ANT2BP) (Transport and Golgi organization 9 homolog),SLC35F6 C2orf18 UNQ3047/PRO9863,Homo sapiens (Human),371,"TRANSMEM 48..68; /note=""Helical""; /evidence=""ECO:0000255""; TRANSMEM 89..109; /note=""Helical""; /evidence=""ECO:0000255""; TRANSMEM 117..137; /note=""Helical""; /evidence=""ECO:0000255""; TRANSMEM 140..160; /note=""Helical""; /evidence=""ECO:0000255""; TRANSMEM 176..196; /note=""Helical""; /evidence=""ECO:0000255""; TRANSMEM 216..236; /note=""Helical""; /evidence=""ECO:0000255""; TRANSMEM 261..281; /note=""Helical""; /evidence=""ECO:0000255""; TRANSMEM 295..312; /note=""Helical""; /evidence=""ECO:0000255""; TRANSMEM 317..336; /note=""Helical""; /evidence=""ECO:0000255"""
Q8N370,reviewed,LAT4_HUMAN,Large neutral amino acids transporter small subunit 4 (L-type amino acid transporter 4) (Solute carrier family 43 member 2),SLC43A2 LAT4 PP7664,Homo sapiens (Human),569,"TRANSMEM 20..40; /note=""Helical""; /evidence=""ECO:0000255""; TRANSMEM 90..110; /note=""Helical""; /evidence=""ECO:0000255""; TRANSMEM 120..140; /note=""Helical""; /evidence=""ECO:0000255""; TRANSMEM 143..163; /note=""Helical""; /evidence=""ECO:0000255""; TRANSMEM 177..197; /note=""Helical""; /evidence=""ECO:0000255""; TRANSMEM 203..223; /note=""Helical""; /evidence=""ECO:0000255""; TRANSMEM 323..345; /note=""Helical""; /evidence=""ECO:0000255""; TRANSMEM 365..385; /note=""Helical""; /evidence=""ECO:0000255""; TRANSMEM 435..455; /note=""Helical""; /evidence=""ECO:0000255""; TRANSMEM 462..482; /note=""Helical""; /evidence=""ECO:0000255""; TRANSMEM 490..510; /note=""Helical""; /evidence=""ECO:0000255""; TRANSMEM 516..536; /note=""Helical""; /evidence=""ECO:0000255"""
Q8N386,reviewed,LRC25_HUMAN,Leucine-rich repeat-containing protein 25 (Monocyte and plasmacytoid-activated protein),LRRC25 MAPA UNQ6169/PRO20174,Homo sapiens (Human),305,"TRANSMEM 166..186; /note=""Helical""; /evidence=""ECO:0000255"""
Q8N387,reviewed,MUC15_HUMAN,Mucin-15 (MUC-15),MUC15 UNQ750/PRO1481,Homo sapiens (Human),334,"TRANSMEM 237..257; /note=""Helical""; /evidence=""ECO:0000255"""
Q8N394,reviewed,TMTC2_HUMAN,Protein O-mannosyl-transferase TMTC2 (EC 2.4.1.109) (Transmembrane O-mannosyltransferase targeting cadherins 2) (Transmembrane and tetratricopeptide repeat-containing 2),TMTC2,Homo sapiens (Human),836,"TRANSMEM 1..21; /note=""Helical""; /evidence=""ECO:0000255""; TRANSMEM 85..105; /note=""Helical""; /evidence=""ECO:0000255""; TRANSMEM 108..128; /note=""Helical""; /evidence=""ECO:0000255""; TRANSMEM 133..153; /note=""Helical""; /evidence=""ECO:0000255""; TRANSMEM 163..184; /note=""Helical""; /evidence=""ECO:0000255""; TRANSMEM 185..204; /note=""Helical""; /evidence=""ECO:0000255""; TRANSMEM 221..241; /note=""Helical""; /evidence=""ECO:0000255""; TRANSMEM 313..333; /note=""Helical""; /evidence=""ECO:0000255""; TRANSMEM 400..420; /note=""Helical""; /evidence=""ECO:0000255""; TRANSMEM 423..443; /note=""Helical""; /evidence=""ECO:0000255""; TRANSMEM 450..470; /note=""Helical""; /evidence=""ECO:0000255"""
Q8N3G9,reviewed,TM130_HUMAN,Transmembrane protein 130,TMEM130 UNQ719/PRO1383,Homo sapiens (Human),435,"TRANSMEM 340..360; /note=""Helical""; /evidence=""ECO:0000255"""
Q8N3J6,reviewed,CADM2_HUMAN,Cell adhesion molecule 2 (Immunoglobulin superfamily member 4D) (IgSF4D) (Nectin-like protein 3) (NECL-3) (Synaptic cell adhesion molecule 2) (SynCAM 2),CADM2 IGSF4D NECL3,Homo sapiens (Human),435,"TRANSMEM 368..388; /note=""Helical""; /evidence=""ECO:0000255"""
Q8N3T1,reviewed,GLT15_HUMAN,Polypeptide N-acetylgalactosaminyltransferase 15 (EC 2.4.1.41) (Polypeptide GalNAc transferase-like protein 2) (GalNAc-T-like protein 2) (pp-GaNTase-like protein 2) (Polypeptide N-acetylgalactosaminyltransferase-like protein 2) (Protein-UDP acetylgalactosaminyltransferase-like protein 2) (UDP-GalNAc:polypeptide N-acetylgalactosaminyltransferase-like protein 2),GALNT15 GALNTL2 UNQ770/PRO1564,Homo sapiens (Human),639,"TRANSMEM 12..34; /note=""Helical; Signal-anchor for type II membrane protein""; /evidence=""ECO:0000255"""
Q8N3Y3,reviewed,LARG2_HUMAN,"Xylosyl- and glucuronyltransferase LARGE2 (EC 2.4.-.-) (Glycosyltransferase-like 1B) (LARGE xylosyl- and glucuronyltransferase 2) [Includes: Alpha-1,3-xylosyltransferase LARGE2 (EC 2.4.2.-); Beta-1,3-glucuronyltransferase LARGE2 (EC 2.4.1.-)]",LARGE2 GYLTL1B PP5656,Homo sapiens (Human),721,"TRANSMEM 9..29; /note=""Helical; Signal-anchor for type II membrane protein""; /evidence=""ECO:0000255"""
Q8N3Y7,reviewed,RDHE2_HUMAN,Epidermal retinol dehydrogenase 2 (EPHD-2) (RDH-E2) (EC 1.1.1.105) (Retinal short-chain dehydrogenase reductase 2) (retSDR2) (Short-chain dehydrogenase/reductase family 16C member 5),SDR16C5 RDHE2,Homo sapiens (Human),309,"TRANSMEM 11..31; /note=""Helical""; /evidence=""ECO:0000255""; TRANSMEM 270..290; /note=""Helical""; /evidence=""ECO:0000255"""
Q8N423,reviewed,LIRB2_HUMAN,Leukocyte immunoglobulin-like receptor subfamily B member 2 (LIR-2) (Leukocyte immunoglobulin-like receptor 2) (CD85 antigen-like family member D) (Immunoglobulin-like transcript 4) (ILT-4) (Monocyte/macrophage immunoglobulin-like receptor 10) (MIR-10) (CD antigen CD85d),LILRB2 ILT4 LIR2 MIR10,Homo sapiens (Human),597,"TRANSMEM 461..481; /note=""Helical""; /evidence=""ECO:0000255"""
Q8N428,reviewed,GLT16_HUMAN,Polypeptide N-acetylgalactosaminyltransferase 16 (EC 2.4.1.41) (Polypeptide GalNAc transferase 16) (GalNAc-T16) (Polypeptide GalNAc transferase-like protein 1) (GalNAc-T-like protein 1) (pp-GaNTase-like protein 1) (Polypeptide N-acetylgalactosaminyltransferase-like protein 1) (Protein-UDP acetylgalactosaminyltransferase-like protein 1) (UDP-GalNAc:polypeptide N-acetylgalactosaminyltransferase-like protein 1),GALNT16 GALNTL1 KIAA1130,Homo sapiens (Human),558,"TRANSMEM 7..26; /note=""Helical; Signal-anchor for type II membrane protein""; /evidence=""ECO:0000255"""
Q8N441,reviewed,FGRL1_HUMAN,Fibroblast growth factor receptor-like 1 (FGF receptor-like protein 1) (FGF homologous factor receptor) (FGFR-like protein) (Fibroblast growth factor receptor 5) (FGFR-5),FGFRL1 FGFR5 FHFR UNQ480/PRO943,Homo sapiens (Human),504,"TRANSMEM 379..399; /note=""Helical""; /evidence=""ECO:0000255"""
Q8N4A0,reviewed,GALT4_HUMAN,Polypeptide N-acetylgalactosaminyltransferase 4 (EC 2.4.1.41) (Polypeptide GalNAc transferase 4) (GalNAc-T4) (pp-GaNTase 4) (Protein-UDP acetylgalactosaminyltransferase 4) (UDP-GalNAc:polypeptide N-acetylgalactosaminyltransferase 4),GALNT4,Homo sapiens (Human),578,"TRANSMEM 13..35; /note=""Helical; Signal-anchor for type II membrane protein""; /evidence=""ECO:0000255"""
Q8N4F4,reviewed,S22AO_HUMAN,Steroid transmembrane transporter SLC22A24 (Solute carrier family 22 member 24),SLC22A24,Homo sapiens (Human),552,"TRANSMEM 16..36; /note=""Helical""; /evidence=""ECO:0000255""; TRANSMEM 146..166; /note=""Helical""; /evidence=""ECO:0000255""; TRANSMEM 178..200; /note=""Helical""; /evidence=""ECO:0000255""; TRANSMEM 204..226; /note=""Helical""; /evidence=""ECO:0000255""; TRANSMEM 234..254; /note=""Helical""; /evidence=""ECO:0000255""; TRANSMEM 260..280; /note=""Helical""; /evidence=""ECO:0000255""; TRANSMEM 350..370; /note=""Helical""; /evidence=""ECO:0000255""; TRANSMEM 380..400; /note=""Helical""; /evidence=""ECO:0000255""; TRANSMEM 407..427; /note=""Helical""; /evidence=""ECO:0000255""; TRANSMEM 435..455; /note=""Helical""; /evidence=""ECO:0000255""; TRANSMEM 474..492; /note=""Helical""; /evidence=""ECO:0000255""; TRANSMEM 496..516; /note=""Helical""; /evidence=""ECO:0000255"""
Q8N4L1,reviewed,T151A_HUMAN,Transmembrane protein 151A,TMEM151A TMEM151,Homo sapiens (Human),468,"TRANSMEM 45..65; /note=""Helical""; /evidence=""ECO:0000255""; TRANSMEM 98..118; /note=""Helical""; /evidence=""ECO:0000255"""
Q8N4L2,reviewed,PP4P2_HUMAN,"Type 2 phosphatidylinositol 4,5-bisphosphate 4-phosphatase (Type 2 PtdIns-4,5-P2 4-Ptase) (EC 3.1.3.78) (PtdIns-4,5-P2 4-Ptase II) (Transmembrane protein 55A)",PIP4P2 TMEM55A,Homo sapiens (Human),257,"TRANSMEM 192..212; /note=""Helical""; /evidence=""ECO:0000255""; TRANSMEM 227..247; /note=""Helical""; /evidence=""ECO:0000255"""
Q8N4M1,reviewed,CTL3_HUMAN,Choline transporter-like protein 3 (Solute carrier family 44 member 3),SLC44A3 CTL3 UNQ558/PRO1115,Homo sapiens (Human),653,"TRANSMEM 34..54; /note=""Helical""; /evidence=""ECO:0000255""; TRANSMEM 213..233; /note=""Helical""; /evidence=""ECO:0000255""; TRANSMEM 243..263; /note=""Helical""; /evidence=""ECO:0000255""; TRANSMEM 284..304; /note=""Helical""; /evidence=""ECO:0000255""; TRANSMEM 334..354; /note=""Helical""; /evidence=""ECO:0000255""; TRANSMEM 384..404; /note=""Helical""; /evidence=""ECO:0000255""; TRANSMEM 534..554; /note=""Helical""; /evidence=""ECO:0000255""; TRANSMEM 563..583; /note=""Helical""; /evidence=""ECO:0000255"""
Q8N4S9,reviewed,MALD2_HUMAN,MARVEL domain-containing protein 2 (Tricellulin),MARVELD2 TRIC,Homo sapiens (Human),558,"TRANSMEM 195..215; /note=""Helical""; /evidence=""ECO:0000255""; TRANSMEM 224..244; /note=""Helical""; /evidence=""ECO:0000255""; TRANSMEM 255..275; /note=""Helical""; /evidence=""ECO:0000255""; TRANSMEM 292..312; /note=""Helical""; /evidence=""ECO:0000255""; TRANSMEM 320..337; /note=""Helical""; /evidence=""ECO:0000255""; TRANSMEM 342..362; /note=""Helical""; /evidence=""ECO:0000255"""
Q8N4V1,reviewed,EMC5_HUMAN,ER membrane protein complex subunit 5 (Membrane magnesium transporter 1) (Transmembrane protein 32),MMGT1 EMC5 TMEM32,Homo sapiens (Human),131,"TRANSMEM 4..22; /note=""Helical""; /evidence=""ECO:0000269|PubMed:32439656""; TRANSMEM 44..63; /note=""Helical""; /evidence=""ECO:0000269|PubMed:32439656"""
Q8N511,reviewed,TM199_HUMAN,Transmembrane protein 199,TMEM199 C17orf32,Homo sapiens (Human),208,"TRANSMEM 146..166; /note=""Helical""; /evidence=""ECO:0000255""; TRANSMEM 179..199; /note=""Helical""; /evidence=""ECO:0000255"""
Q8N539,reviewed,FBCD1_HUMAN,Fibrinogen C domain-containing protein 1,FIBCD1 UNQ701/PRO1346,Homo sapiens (Human),461,"TRANSMEM 34..54; /note=""Helical; Signal-anchor for type II membrane protein""; /evidence=""ECO:0000255"""
Q8N5B7,reviewed,CERS5_HUMAN,Ceramide synthase 5 (CerS5) (LAG1 longevity assurance homolog 5) (Sphingoid base N-palmitoyltransferase CERS5) (EC 2.3.1.291) (Sphingosine N-acyltransferase CERS5) (EC 2.3.1.24),CERS5 LASS5,Homo sapiens (Human),392,"TRANSMEM 47..67; /note=""Helical""; /evidence=""ECO:0000255""; TRANSMEM 148..168; /note=""Helical""; /evidence=""ECO:0000255""; TRANSMEM 183..203; /note=""Helical""; /evidence=""ECO:0000255""; TRANSMEM 214..234; /note=""Helical""; /evidence=""ECO:0000255""; TRANSMEM 272..292; /note=""Helical""; /evidence=""ECO:0000255""; TRANSMEM 311..331; /note=""Helical""; /evidence=""ECO:0000255"""
Q8N5D6,reviewed,GBGT1_HUMAN,"Globoside alpha-1,3-N-acetylgalactosaminyltransferase 1 (EC 2.4.1.-) (Forssman glycolipid synthase-like protein)",GBGT1 UNQ2513/PRO6002,Homo sapiens (Human),347,"TRANSMEM 6..26; /note=""Helical; Signal-anchor for type II membrane protein""; /evidence=""ECO:0000255"""
Q8N5G0,reviewed,SIM20_HUMAN,Small integral membrane protein 20 (Mitochondrial translation regulation assembly intermediate of cytochrome c oxidase protein of 7 kDa) (MITRAC7) [Cleaved into: Phoenixin-14 (PNX-14); Phoenixin-20 (PNX-20)],SMIM20 C4orf52 MITRAC7,Homo sapiens (Human),67,"TRANSMEM 7..27; /note=""Helical""; /evidence=""ECO:0000255"""
Q8N5G2,reviewed,MACOI_HUMAN,Macoilin (Macoilin-1) (Transmembrane protein 57),MACO1 TMEM57,Homo sapiens (Human),664,"TRANSMEM 28..48; /note=""Helical""; /evidence=""ECO:0000255""; TRANSMEM 75..95; /note=""Helical""; /evidence=""ECO:0000255""; TRANSMEM 120..140; /note=""Helical""; /evidence=""ECO:0000255""; TRANSMEM 154..174; /note=""Helical""; /evidence=""ECO:0000255"""
Q8N5K1,reviewed,CISD2_HUMAN,CDGSH iron-sulfur domain-containing protein 2 (Endoplasmic reticulum intermembrane small protein) (MitoNEET-related 1 protein) (Miner1) (Nutrient-deprivation autophagy factor-1) (NAF-1),CISD2 CDGSH2 ERIS ZCD2,Homo sapiens (Human),135,"TRANSMEM 38..60; /note=""Helical""; /evidence=""ECO:0000255"""
Q8N5M9,reviewed,JAGN1_HUMAN,Protein jagunal homolog 1,JAGN1,Homo sapiens (Human),183,"TRANSMEM 40..60; /note=""Helical""; /evidence=""ECO:0000255""; TRANSMEM 72..92; /note=""Helical""; /evidence=""ECO:0000255""; TRANSMEM 97..117; /note=""Helical""; /evidence=""ECO:0000255""; TRANSMEM 138..158; /note=""Helical""; /evidence=""ECO:0000255"""
Q8N5Y8,reviewed,PAR16_HUMAN,Protein mono-ADP-ribosyltransferase PARP16 (EC 2.4.2.-) (ADP-ribosyltransferase diphtheria toxin-like 15) (Poly [ADP-ribose] polymerase 16) (PARP-16),PARP16 ARTD15 C15orf30,Homo sapiens (Human),322,"TRANSMEM 288..308; /note=""Helical""; /evidence=""ECO:0000255"""
Q8N608,reviewed,DPP10_HUMAN,Inactive dipeptidyl peptidase 10 (Dipeptidyl peptidase IV-related protein 3) (DPRP-3) (Dipeptidyl peptidase X) (DPP X) (Dipeptidyl peptidase-like protein 2) (DPL2),DPP10 DPRP3 KIAA1492,Homo sapiens (Human),796,"TRANSMEM 35..55; /note=""Helical; Signal-anchor for type II membrane protein""; /evidence=""ECO:0000255"""
